"HS_ID","Skupina","Podskupina","Kategorie výrobku","Zdroj","Included","CAGR_2022_30_ANALYSIS","IS_REALCAGR","CAGR_2022_30_FORECAST","CZ_Nazev","ENG_Nazev","Upravováno na novou HS22 terminologii","Odkud","Nově vloženo","Proč, odkud","IMF","","","","","","","","","",""
"902519","E01. Měřící a diagnostické přístroje; Monitoring","E01c. Měření okolního prostředí (HS9025)","Termometry","LSE Navigator","IN","","N","0.0400","Teploměry,nekombinované,ostatní","Thermometers and pyrometers: (other than liquid filled, for direct reading), not combined with other instruments","","","","","0","","","","","","","","","",""
"903120","E01. Měřící a diagnostické přístroje; Monitoring","E01i. Ostatní","Ostatní","LSE Navigator","IN","","N","0.0400","Zařízení zkušební","Test benches","","","","","0","","","","","","","","","",""
"860610","A02. Doprava","A02a. Železniční (osobní i nákladní)","Nové lokomotivy a vozy","LSE Navigator","IN","0.0500","Y","0.0500","Vagóny cisternové ap,bez pohonu","Railway or tramway goods vans and wagons: tank wagons and the like, not self-propelled","","","","","0","","","","","","","","","",""
"901580","E01. Měřící a diagnostické přístroje; Monitoring","E01h. Surveying / Zeměměřičství (HS 9015)","Surveying / Zeměměřičství","LSE Navigator","IN","","N","0.0400","Přístr.geodet,topograf,meteorolog,geofyz.ost.","Surveying equipment: articles n.e.c. in heading no. 9015, including hydrographic, oceanographic, hydrological, meteorological or geophysical instruments and appliances (excluding compasses)","","","","","1","","","","","","","","","",""
"901530","E01. Měřící a diagnostické přístroje; Monitoring","E01h. Surveying / Zeměměřičství (HS 9015)","Surveying / Zeměměřičství","LSE Navigator","IN","","N","0.0400","Libely","Surveying equipment: levels","","","","","0","","","","","","","","","",""
"381511","A01. Výroba, nízkoemisní výrobní postupy","A01a. Nízkoemisní výroba","Nízkoemisní výroby ostatní","LSE Navigator","IN","","N","0.0400","Katalyzátory na nosiči s niklem jako<br>akt.látk","Catalysts, supported: reaction initiators, reaction accelerators and catalytic preparations, with nickel or nickel compounds as the active substance, n.e.c. or included","","","","","0","","","","","","","","","",""
"840220","A04. Výroba nízkoemisní elektřiny a paliv","A04f. Jádro","Komponenty pro jadernou energetiku","""Technology Evolution of Chinaâ€™s Export of Renewable Energy Products"" By Xuping Cao et al, 2018; https://www.researchgate.net/publication/327123861_Technology_Evolution_of_China's_Export_of_Renewable_Energy_Products","IN","","N","0.0400","Kotle zvané ""na přehřátou vodu""","Boilers: super-heated water boilers","","","","","0","","","","","","","","","",""
"840490","A05. Ukládání energie","A05b. Vodik a čpavek","Vodík (elektrolyzéry)","LSE Navigator","IN","","N","0.0400","Části,součásti přístr.pomoc.ke kotlům ÚT aj","Boilers: parts of auxiliary plant, for use with boilers of heading no. 8402 and 8403 and parts of condensers for steam or other vapour power units","","","","","1","","","","","","","","","",""
"701980","A03. Budovy","A03a. Snižování energetické náročnosti budov","Zateplení, izolace","LSE Navigator","IN","","N","0.0400","Skleněná vlna a výrobky ze skleněné<br>vlny","Glass fibres: glass wool and articles thereof","Ano","https://unstats.un.org/unsd/classifications/Econ/corr-notes/HS2022%20conversion%20to%20earlier%20HS%20versions%20and%20other%20classifications%20%20-%20v.1.0.pdf"," ","","1","","","","","","","","","",""
"850440","A06. Energetické sítě","A06a. Distribuce a přenos elektřiny","Transformační stanice a další síťové komponenty","LSE Navigator","IN","0.0580","Y","0.0580","Měniče statické(např.usměrňovače)","Electrical static converters","Nic neupravováno, jen že je to uvedeno i jako solární komponenta","","","","0","","","","","","","","","",""
