,HS6,OD,DO,POPIS
3312,620213,2017-01-01,2021-12-31,"Svrchníky,kabáty aj dámské ap z vláken chemic"
3313,620219,2017-01-01,2021-12-31,"Svrchníky,kabáty aj dámské ap z mat.text.ost."
3314,620220,2022-01-01,2999-12-31,"Dámské nebo dívčí kabáty, pláště, pláštěnky, větrovky, bundy (včetně lyžařských) a podobné výrobky, z vlny nebo jemných"
3315,620230,2022-01-01,2999-12-31,"Dámské nebo dívčí kabáty, pláště, pláštěnky, větrovky, bundy (včetně lyžařských) a podobné výrobky, z bavlny (kromě plet"
3316,620240,2022-01-01,2999-12-31,"Dámské nebo dívčí kabáty, pláště, pláštěnky, větrovky, bundy (včetně lyžařských) a podobné výrobky, z chemických vláken"
3317,620290,2022-01-01,2999-12-31,"Dámské nebo dívčí kabáty, pláště, pláštěnky, větrovky, bundy (včetně lyžařských) a podobné výrobky, z textilních materiá"
3318,620291,2017-01-01,2021-12-31,"Bundy,větrovky aj dámské ap z vlny,chlupů zv."
3319,620292,2017-01-01,2021-12-31,"Bundy,větrovky aj dámské ap z bavlny"
3320,620293,2017-01-01,2021-12-31,"Bundy,větrovky aj dámské ap z vláken chemick."
3321,620299,2017-01-01,2021-12-31,"Bundy,větrovky aj dámské ap z mat.textil.ost."
3322,620311,2017-01-01,2999-12-31,"Obleky pánské,chlapecké z vlny,chlupů zvíř."
3323,620312,2017-01-01,2999-12-31,"Obleky pánské,chlapecké z vláken syntetických"
3324,620319,2017-01-01,2999-12-31,"Obleky pánské,chlapecké z mater.textil.ost."
3325,620322,2017-01-01,2999-12-31,"Komplety pánské,chlapecké z bavlny"
3326,620323,2017-01-01,2999-12-31,"Komplety pánské,chlapecké z vláken syntetick."
3327,620329,2017-01-01,2999-12-31,"Komplety pánské,chlapecké z mater.textil.ost."
3328,620331,2017-01-01,2999-12-31,"Saka,blejzry pánské,chlapecké z vlny,chlupů"
3329,620332,2017-01-01,2999-12-31,"Saka,blejzry pánské,chlapecké z bavlny"
3330,620333,2017-01-01,2999-12-31,"Saka,blejzry pánské,chlapecké z vláken syntet"
3331,620339,2017-01-01,2999-12-31,"Saka,blejzry pánské,chlapecké z mat.text.ost."
3332,620341,2017-01-01,2999-12-31,"Kalhoty,i krátké aj pánské ap z vlny,chlupů"
3333,620342,2017-01-01,2999-12-31,"Kalhoty,i krátké aj pánské ap z bavlny"
3334,620343,2017-01-01,2999-12-31,"Kalhoty,i krátké aj pánské ap z vláken syntet"
3335,620349,2017-01-01,2999-12-31,"Kalhoty,i krátké aj pánské ap z mat.text.ost."
3336,620411,2017-01-01,2999-12-31,"Kostýmy dámské,dívčí z vlny,chlupů zvířecích"
3337,620412,2017-01-01,2999-12-31,"Kostýmy dámské,dívčí z bavlny"
3338,620413,2017-01-01,2999-12-31,"Kostýmy dámské,dívčí z vláken syntetických"
3339,620419,2017-01-01,2999-12-31,"Kostýmy dámské,dívčí z mater.textilních ost."
3340,620421,2017-01-01,2999-12-31,"Komplety dámské,dívčí z vlny,chlupů zvířecích"
3341,620422,2017-01-01,2999-12-31,"Komplety dámské,dívčí z bavlny"
3342,620423,2017-01-01,2999-12-31,"Komplety dámské,dívčí z vláken syntetických"
3343,620429,2017-01-01,2999-12-31,"Komplety dámské,dívčí z mater.textilních ost."
3344,620431,2017-01-01,2999-12-31,"Kabátky dámské,dívčí z vlny,chlupů zvířecích"
3345,620432,2017-01-01,2999-12-31,"Kabátky dámské,dívčí z bavlny"
3346,620433,2017-01-01,2999-12-31,"Kabátky dámské,dívčí z vláken syntetických"
3347,620439,2017-01-01,2999-12-31,"Kabátky dámské,dívčí z mater.textilních ost."
3348,620441,2017-01-01,2999-12-31,"Šaty dámské,dívčí z vlny,chlupů zvířecích"
3349,620442,2017-01-01,2999-12-31,"Šaty dámské,dívčí z bavlny"
3350,620443,2017-01-01,2999-12-31,"Šaty dámské,dívčí z vláken syntetických"
3351,620444,2017-01-01,2999-12-31,"Šaty dámské,dívčí z vláken umělých"
3352,620449,2017-01-01,2999-12-31,"Šaty dámské,dívčí z materiálů textilních ost."
3353,620451,2017-01-01,2999-12-31,"Sukně,i kalhotové dámské,dívčí z vlny,chlupů"
3354,620452,2017-01-01,2999-12-31,"Sukně,i kalhotové dámské,dívčí z bavlny"
3355,620453,2017-01-01,2999-12-31,"Sukně,i kalhotové dámské,dívčí z vláken synt."
3356,620459,2017-01-01,2999-12-31,"Sukně,i kalhotové dámské,dívčí z mat.text.ost"
3357,620461,2017-01-01,2999-12-31,"Kalhoty,i krátké aj dámské ap z vlny,chlupů"
3358,620462,2017-01-01,2999-12-31,"Kalhoty,i krátké aj dámské ap z bavlny"
