,HS6,OD,DO,POPIS
0,010121,2017-01-01,2999-12-31,"Plemenní čistokrevní koně, živí"
1,010129,2017-01-01,2999-12-31,"Koně ostatní, živí"
2,010130,2017-01-01,2999-12-31,"Osli, živí"
3,010190,2017-01-01,2999-12-31,Koně ostatní
4,010221,2017-01-01,2999-12-31,"Plemenný čistokrevný skot, živý"
5,010229,2017-01-01,2999-12-31,"Skot ostatní, živý"
6,010231,2017-01-01,2999-12-31,"Plemenní čistokrevní buvoli, živí"
7,010239,2017-01-01,2999-12-31,"Buvoli ostatní, živí"
8,010290,2017-01-01,2999-12-31,Dobytek hovězí ostatní živý
9,010310,2017-01-01,2999-12-31,Dobytek vepřový plemenný čistokrevný živý
10,010391,2017-01-01,2999-12-31,"Dobytek vepřový ostatní živý,do 50kg"
11,010392,2017-01-01,2999-12-31,"Dobytek vepřový ostatní živý,nad 50kg"
12,010410,2017-01-01,2999-12-31,Ovce živé
13,010420,2017-01-01,2999-12-31,Kozy živé
14,010511,2017-01-01,2999-12-31,"Kohouti,slepice domácí živí,do 185g"
15,010512,2017-01-01,2999-12-31,Krocani a krůty
16,010513,2017-01-01,2999-12-31,"Kachny, živé, o hmotnosti <= 185 g"
17,010514,2017-01-01,2999-12-31,"Husy, živé, o hmotnosti <= 185 g"
18,010515,2017-01-01,2999-12-31,"Perličky, živé, o hmotnosti <= 185 g"
19,010594,2017-01-01,2999-12-31,"Kohouti,slepice domácí živí,nad 185g"
20,010599,2017-01-01,2999-12-31,"Kachny,husy,krocani,perličky ap domácí živí"
21,010611,2017-01-01,2999-12-31,Primáti
22,010612,2017-01-01,2999-12-31,"Velryby,delfíni,sviňuchy,kapustňáci,dugungové,tuleni,lvouni,mroži,živí"
23,010613,2017-01-01,2999-12-31,"Velbloudi a jiní velbloudovití, živí"
24,010614,2017-01-01,2999-12-31,"Králíci a zajíci, živí"
25,010619,2017-01-01,2999-12-31,Domácí králíci
26,010620,2017-01-01,2999-12-31,Plazi (včetně hadů a želv)
27,010631,2017-01-01,2999-12-31,Dravci
28,010632,2017-01-01,2999-12-31,"Papouškovití (vč. papoušků, makaů apod)"
29,010633,2017-01-01,2999-12-31,"Pštrosi, emuové, živí"
30,010639,2017-01-01,2999-12-31,Holubi a ostatní ptáci j.n.
31,010641,2017-01-01,2999-12-31,"Včely, živé"
32,010649,2017-01-01,2999-12-31,"Hmyz ostatní, živý"
33,010690,2017-01-01,2999-12-31,Ostatní živá zvířata j.n.
34,020110,2017-01-01,2999-12-31,"Maso hovězí,čerstvé,chlazené,v celku,půlené"
35,020120,2017-01-01,2999-12-31,"Maso hovězí ost,čerstvé,chlazené,nevykostěné"
36,020130,2017-01-01,2999-12-31,"Maso hovězí,čerstvé,chlazené,vykostěné"
37,020210,2017-01-01,2999-12-31,"Maso hovězí zmrazené,v celku,půlené"
38,020220,2017-01-01,2999-12-31,"Maso hovězí ostatní zmrazené,nevykostěné"
39,020230,2017-01-01,2999-12-31,"Maso hovězí zmrazené,vykostěné"
40,020311,2017-01-01,2999-12-31,"Maso vepřové čerstvé,chlazené,v celku,půlené"
41,020312,2017-01-01,2999-12-31,"Šunky,plece vepř.čerstvé,chlazené,nevykostěné"
42,020319,2017-01-01,2999-12-31,"Maso vepřové ostatní čerstvé,chlazené"
43,020321,2017-01-01,2999-12-31,"Maso vepřové zmarazené,v celku,půlené"
44,020322,2017-01-01,2999-12-31,"Šunky,plece vepřové zmrazené,nevykostěné"
45,020329,2017-01-01,2999-12-31,Maso vepřové ostatní zmrazené
46,020410,2017-01-01,2999-12-31,"Jehně čerstvé,chlazené,v celku,půlené"
47,020421,2017-01-01,2999-12-31,"Maso skopové ost.čerstvé,chlaz,v celku,půlené"
48,020422,2017-01-01,2999-12-31,"Maso skopové ost.čerstvé,chlazené,nevykostěné"
49,020423,2017-01-01,2999-12-31,"Maso skopové ost.čerstvé,chlazené,vykostěné"
50,020430,2017-01-01,2999-12-31,"Jehně zmrazené,v celku,půlené"
51,020441,2017-01-01,2999-12-31,"Maso skopové ostatní,zmrazené,v celku,půlené"
52,020442,2017-01-01,2999-12-31,"Maso skopové ostatní,zmrazené,nevykostěné"
53,020443,2017-01-01,2999-12-31,"Maso skopové ostatní,zmrazené,vykostěné"
54,020450,2017-01-01,2999-12-31,Maso kozí
55,020500,2017-01-01,2999-12-31,"Maso koňské,oslí,mezků,mul,čerst,chlaz,zmraz"
56,020610,2017-01-01,2999-12-31,"Droby hovězí jedlé,čerstvé,chlazené"
57,020621,2017-01-01,2999-12-31,Jazyky hovězí zmrazené
58,020622,2017-01-01,2999-12-31,Játra hovězí zmrazená
59,020629,2017-01-01,2999-12-31,"Droby hovězí jedlé ostatní,zmrazené"
60,020630,2017-01-01,2999-12-31,"Droby vepřové jedlé,čerstvé,chlazené"
61,020641,2017-01-01,2999-12-31,Játra vepřová zmrazená
62,020649,2017-01-01,2999-12-31,"Droby vepřové jedlé ostatní,zmrazené"
63,020680,2017-01-01,2999-12-31,"Droby skopové,kozí,koňské ap jedlé čerst,chl"
64,020690,2017-01-01,2999-12-31,"Droby skopové,kozí,koňské ap jedlé zmrazené"
65,020711,2017-01-01,2999-12-31,"Maso ze slepic nedělené, čerstvé n. chlazené"
66,020712,2017-01-01,2999-12-31,"Maso ze slepic nedělené, zmrazené"
67,020713,2017-01-01,2999-12-31,"Dělené maso a droby ze slepic, čerstvé n.chl."
68,020714,2017-01-01,2999-12-31,"Dělené maso a droby ze slepic, zmrazené"
69,020724,2017-01-01,2999-12-31,"Maso z krůt nedělené, čerstvé n. chlazené"
70,020725,2017-01-01,2999-12-31,"Maso z krůt a krocanů nedělené, zmrazené"
71,020726,2017-01-01,2999-12-31,"Dělené maso a droby z krůt, čerstvé n. chlaz."
72,020727,2017-01-01,2999-12-31,Dělené maso a droby z krůt zmrazené
73,020741,2017-01-01,2999-12-31,"Maso z kachen, nedělené, čerstvé nebo chlazené"
74,020742,2017-01-01,2999-12-31,"Maso z kachen, nedělené, zmrazené"
75,020743,2017-01-01,2999-12-31,"Tučná játra z kachen, čerstvá nebo chlazená"
76,020744,2017-01-01,2999-12-31,"Maso z kachen ostatní, čerstvé nebo chlazené"
77,020745,2017-01-01,2999-12-31,"Maso z kachen ostatní, zmrazené"
78,020751,2017-01-01,2999-12-31,"Maso z hus, nedělené, čerstvé nebo chlazené"
79,020752,2017-01-01,2999-12-31,"Maso z hus, nedělené, zmrazené"
80,020753,2017-01-01,2999-12-31,"Tučná játra z hus, čerstvá nebo chlazená"
81,020754,2017-01-01,2999-12-31,"Maso z hus ostatní, čerstvé nebo chlazené"
82,020755,2017-01-01,2999-12-31,"Maso z hus ostatní, zmrazené"
83,020760,2017-01-01,2999-12-31,Maso z perliček
84,020810,2017-01-01,2999-12-31,"Maso,droby králičí,zaječí,čerst,chlaz,zmraz"
85,020830,2017-01-01,2999-12-31,Maso primátů
86,020840,2017-01-01,2999-12-31,"Maso z velryb,delfínů,sviňuch,kapustňáků,dugungů,tuleňů,lvounů,mrožů"
87,020850,2017-01-01,2999-12-31,Maso z plazů (vč. hadů a želv)
88,020860,2017-01-01,2999-12-31,Maso z velbloudů a jiných velbloudovitých
89,020890,2017-01-01,2999-12-31,"Maso a jedlé droby z holubů, zvěřiny, sobů a jiných zvířat, čerstvé, chlazené a zmrazené (kromě těch z turů, prasat, ovc"
90,020910,2017-01-01,2999-12-31,Vepřový tuk
91,020990,2017-01-01,2999-12-31,Vepřový tuk ostatní
92,021011,2017-01-01,2999-12-31,"Šunky,plece vepř.solené,sušené,uzené,nevykost"
93,021012,2017-01-01,2999-12-31,"Bůčky prorostlé solené,v nálevu,sušené,uzené"
94,021019,2017-01-01,2999-12-31,"Maso,droby vepřové ost.solené,sušené,uzené"
95,021020,2017-01-01,2999-12-31,"Maso,droby hovězí solené,v nálevu,sušené,uzené"
96,021091,2017-01-01,2999-12-31,"Solené, uzené maso primátů"
97,021092,2017-01-01,2999-12-31,"Maso a jedlé droby,solené,sušené,uzené z velryb,delfínů,sviňuch,kapust"
98,021093,2017-01-01,2999-12-31,"Solené, uzené maso z plazů"
99,021099,2017-01-01,2999-12-31,"Maso a jedlé droby, solené, ve slaném nálevu, sušené nebo uzené, a jedlé moučky a prášky z masa nebo drobů (kromě hovězí"
100,030111,2017-01-01,2999-12-31,"Ryby sladkovodní okrasné, živé"
101,030119,2017-01-01,2999-12-31,"Ryby okrasné ostatní, živé"
102,030191,2017-01-01,2999-12-31,Pstruzi živí
103,030192,2017-01-01,2999-12-31,Úhoři živí
104,030193,2017-01-01,2999-12-31,"Kaprovití (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyng"
105,030194,2017-01-01,2999-12-31,"Tuňáci, živí"
106,030195,2017-01-01,2999-12-31,Tuňák australský živý
107,030199,2017-01-01,2999-12-31,"Ryby živé, ostatní"
108,030211,2017-01-01,2999-12-31,"Pstruzi čerství,chlazení,ne játra,jikry,mlíčí"
109,030213,2017-01-01,2999-12-31,"Losos, čerstvý nebo chlazený,ne: obecný"
110,030214,2017-01-01,2999-12-31,"Losos obecný, hlavatka podunajská, čerství nebo chlazení"
111,030219,2017-01-01,2999-12-31,"Ryby losos.ost.čerst,chla,ne játra,jikry,mlíčí"
112,030221,2017-01-01,2999-12-31,"Platýs černý,obec,tichomoř,čerstvý,chl,ne játra,jikry,mlíčí"
113,030222,2017-01-01,2999-12-31,"Platýs velký,čerstvý,chlazený,ne játra,jikry,mlíčí"
114,030223,2017-01-01,2999-12-31,"Jarýzy(m.jazyky)čer,chla,ne játra,jikry,mlíčí"
115,030224,2017-01-01,2999-12-31,"Pakambala velká (Psetta maxima), čerstvá nebo chlazená"
116,030229,2017-01-01,2999-12-31,"Ryby platýs.ost.čerst,chl,ne játra,jikry,mlíčí"
117,030231,2017-01-01,2999-12-31,"Tuňáci bílí,kříd.čerst,chl,ne játra,jikry,mlíčí"
118,030232,2017-01-01,2999-12-31,"Tuňáci žlutopl,čerst,chl,ne játra,jikry,mlíčí"
119,030233,2017-01-01,2999-12-31,"Skipjack,tuňák pruhovaný,čerst,chl,ne játra,jikry,mlíčí"
120,030234,2017-01-01,2999-12-31,Tuňák velkooký - čerstvý
121,030235,2017-01-01,2999-12-31,"Tuňák obecný a tuňak Pacific bluefin tuna, čerství nebo chlazení"
122,030236,2017-01-01,2999-12-31,"Tuňák australský,čerstvý,chlazený,ne játra,jikry,mlíčí"
123,030239,2017-01-01,2999-12-31,"Tuňáci ost.čerst,chlaz,ne játra,jikry,mlíčí"
124,030241,2017-01-01,2999-12-31,"Sleďi, čerství nebo chlazení"
125,030242,2017-01-01,2999-12-31,"Sardele, čerství nebo chlazení"
126,030243,2017-01-01,2999-12-31,"Sardinky, sardinely, šprot obecný, čerství nebo chlazení"
127,030244,2017-01-01,2999-12-31,"Makrely, čerstvé nebo chlazené"
128,030245,2017-01-01,2999-12-31,"Kranasi, čerství nebo chlazení"
129,030246,2017-01-01,2999-12-31,"Kranasovec štíhlý, čerstvý nebo chlazený"
130,030247,2017-01-01,2999-12-31,"Mečoun obecný, čerstvý nebo chlazený"
131,030249,2017-01-01,2999-12-31,"Čerstvé nebo chlazené makrelovky rodu Rastrelliger (Rastrelliger spp.), makrelovci (Scomberomorus spp.), kranasi rodu Ca"
132,030251,2017-01-01,2999-12-31,"Tresky (Gadus morhua, ogac, macrocephalus), čerstvé nebo chlazené"
133,030252,2017-01-01,2999-12-31,"Treska jednoskvrnná, čerstvá nebo chlazená"
134,030253,2017-01-01,2999-12-31,"Treska tmavá, čerstvá nebo chlazená"
135,030254,2017-01-01,2999-12-31,"Štikozubci, čerství nebo chlazení"
136,030255,2017-01-01,2999-12-31,"Treska pestrá (Theragra chalcogramma), čerstvá nebo chlazená"
137,030256,2017-01-01,2999-12-31,"Treska modravá, čerstvá nebo chlazená"
138,030259,2017-01-01,2999-12-31,"Tresky mořské ostatní,čerstvé,chlazené"
139,030271,2017-01-01,2999-12-31,"Tilápie, čerstvé nebo chlazené"
140,030272,2017-01-01,2999-12-31,"Sumci, čerství nebo chlazení"
141,030273,2017-01-01,2999-12-31,"Čerství nebo chlazení kaprovití (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrh"
142,030274,2017-01-01,2999-12-31,"Úhoři, čerství nebo chlazení"
143,030279,2017-01-01,2999-12-31,"Robalo nilský, hadohlavci, čerství nebo chlazení"
144,030281,2017-01-01,2999-12-31,"Žraloci, čerství nebo chlazení"
145,030282,2017-01-01,2999-12-31,"Rejnokovití, čerství nebo chlazení"
146,030283,2017-01-01,2999-12-31,"Zubatky, čerstvé nebo chlazené"
147,030284,2017-01-01,2999-12-31,"Mořčáci, čerství nebo chlazení"
148,030285,2017-01-01,2999-12-31,"Mořanovití, čerství nebo chlazení"
149,030289,2017-01-01,2999-12-31,"Ostatní ryby, čerstvé nebo chlazené"
150,030291,2017-01-01,2999-12-31,"Játra, jikry a mlíčí, čerstvé nebo chlazené"
151,030292,2017-01-01,2999-12-31,"Žraločí ploutve, čerstvé nebo chlazené"
152,030299,2017-01-01,2999-12-31,"Čerstvé nebo chlazené rybí ploutve, hlavy, ocasy, vzduchové měchýře a jiné jedlé rybí droby (kromě jater, jiker, mlíčí a"
153,030311,2017-01-01,2999-12-31,"Losos nerka (červený),zmrazený,ne játra,jikry,mlíčí"
154,030312,2017-01-01,2999-12-31,"Lososi zmrazení, ne: losos nerka, obecný"
155,030313,2017-01-01,2999-12-31,"Losos obecný, hlavatka podunajská, zmrazení"
156,030314,2017-01-01,2999-12-31,"Pstruzi, zmrazení"
157,030319,2017-01-01,2999-12-31,"Ryby lososovité ostatní, zmrazené"
158,030323,2017-01-01,2999-12-31,"Tilápie, zmrazené"
159,030324,2017-01-01,2999-12-31,"Sumci, zmrazení"
160,030325,2017-01-01,2999-12-31,"Zmrazení kaprovití (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., My"
161,030326,2017-01-01,2999-12-31,"Úhoři, zmrazení"
162,030329,2017-01-01,2999-12-31,"Robalo nilský, hadohlavci, zmrazení"
163,030331,2017-01-01,2999-12-31,"Platýs černý,obec.(atlant),tichomoř,zmrazený,ne játra,jikry,mlíčí"
164,030332,2017-01-01,2999-12-31,"Platýsi zmrazení,ne játra,jikry,mlíčí"
165,030333,2017-01-01,2999-12-31,"Jarýzy(m.jazyky)zmrazené,ne játra,jikry,mlíčí"
166,030334,2017-01-01,2999-12-31,"Pakambala velká (Psetta maxima), zmrazená"
167,030339,2017-01-01,2999-12-31,"Platýsovité ryby ostatní, zmrazené"
168,030341,2017-01-01,2999-12-31,"Tuňák bílý (křídlatý),zmraz,ne játra,jikry,mlíčí"
169,030342,2017-01-01,2999-12-31,"Tuňáci žlutoploutví zmraz,ne játra,jikry,mlíčí"
170,030343,2017-01-01,2999-12-31,"Tuňák pruhovaný (bonito), zmrazený, ne játra, jikry, mlíčí"
171,030344,2017-01-01,2999-12-31,Tuňák velkooký - zmrazený
172,030345,2017-01-01,2999-12-31,"Tuňák obecný a tuňak Pacific bluefin tuna, zmrazený"
173,030346,2017-01-01,2999-12-31,"Tuňák australský,zmrazený,ne játra,jikry,mlíčí"
174,030349,2017-01-01,2999-12-31,"Tuňáci ostatní zmrazení,ne játra,jikry,mlíčí"
175,030351,2017-01-01,2999-12-31,"Sledi zmrazení,ne játra,jikry,mlíčí"
176,030353,2017-01-01,2999-12-31,"Sardinky, sardinely, šprot obecný, zmrazení"
177,030354,2017-01-01,2999-12-31,"Makrely, zmrazené"
178,030355,2017-01-01,2999-12-31,"Kranasi, zmrazení"
179,030356,2017-01-01,2999-12-31,"Kranasovec štíhlý, zmrazený"
180,030357,2017-01-01,2999-12-31,"Mečoun obecný, zmrazený"
181,030359,2017-01-01,2999-12-31,"Zmrazené sardele (ančovičky) (Engraulis spp.), makrelovky rodu Rastrelliger (Rastrelliger spp.), makrelovci (Scomberomor"
182,030363,2017-01-01,2999-12-31,"Treska (Gadus morhua, ogac, macrocephalus), zmrazená"
183,030364,2017-01-01,2999-12-31,"Treska jednoskvrnná, zmrazená"
184,030365,2017-01-01,2999-12-31,"Treska tmavá, zmrazená"
185,030366,2017-01-01,2999-12-31,"Štikozubci, zmrazení"
186,030367,2017-01-01,2999-12-31,"Treska pestrá (Theragra chalcogramma), zmrazená"
187,030368,2017-01-01,2999-12-31,"Treska modravá, zmrazená"
188,030369,2017-01-01,2999-12-31,"Ryby treskovité ostatní, zmrazené"
189,030381,2017-01-01,2999-12-31,"Žraloci, zmrazení"
190,030382,2017-01-01,2999-12-31,"Rejnokovití, zmrazení"
191,030383,2017-01-01,2999-12-31,"Zubatky, zmrazené"
192,030384,2017-01-01,2999-12-31,"Mořčáci, zmrazení"
193,030389,2017-01-01,2999-12-31,"Ryby ostatní, zmrazené"
194,030391,2017-01-01,2999-12-31,"Játra, jikry a mlíčí, zmrazené"
195,030392,2017-01-01,2999-12-31,"Žraločí ploutve, zmrazené"
196,030399,2017-01-01,2999-12-31,"Zmrazené rybí ploutve, hlavy, ocasy, vzduchové měchýře a jiné jedlé rybí droby (kromě jater, jiker, mlíčí a žraločích pl"
197,030431,2017-01-01,2999-12-31,"Filé z tilápie čerstvé, chlazené"
198,030432,2017-01-01,2999-12-31,"Filé ze sumce čerstvé, chlazené"
199,030433,2017-01-01,2999-12-31,"Filé z robalo nilského čerstvé, chlazené"
200,030439,2017-01-01,2999-12-31,"Rybí filé z kaprů, úhořů, hadohlavců, čerstvé, chlazené"
201,030441,2017-01-01,2999-12-31,"Filé z lososa, čerstvé nebo chlazené"
202,030442,2017-01-01,2999-12-31,"Filé ze pstruha, čerstvé nebo chlazené"
203,030443,2017-01-01,2999-12-31,"Filé z platýsovitých ryb, čerstvé nebo chlazené"
204,030444,2017-01-01,2999-12-31,"Filé z tresek, čerstvé nebo chlazené"
205,030445,2017-01-01,2999-12-31,"Filé z mečouna obecného, čerstvé nebo chlazené"
206,030446,2017-01-01,2999-12-31,"Filé ze zubatky, čerstvé nebo chlazené"
207,030447,2017-01-01,2999-12-31,"Žraloci, čerství nebo chlazení"
208,030448,2017-01-01,2999-12-31,"Rejnokovití (Rajidae), čerství nebo chlazení"
209,030449,2017-01-01,2999-12-31,"Rybí filé ostatní, čerstvé, chlazené"
210,030451,2017-01-01,2999-12-31,"Maso (též mleté), čerstvé nebo chlazené, ne filé, z tilápie (Oreochromis spp.), sumců (Pangasius spp., Silurus spp.,Clar"
211,030452,2017-01-01,2999-12-31,"Maso z lososovitých ryb, čerstvé nebo chlazené"
212,030453,2017-01-01,2999-12-31,"Maso ryb čeledi Bregmacerotidae,Euclichthyidae,a pod.,čerstvé,chlazené"
213,030454,2017-01-01,2999-12-31,"Maso z mečouna obecného, čerstvé nebo chlazené"
214,030455,2017-01-01,2999-12-31,"Maso ze štikozubců, čerstvé nebo chlazené"
215,030456,2017-01-01,2999-12-31,"Maso (též mleté) ze žraloků, čerstvé nebo chlazené (kromě filé)"
216,030457,2017-01-01,2999-12-31,"Maso (též mleté) z rejnokovitých (Rajidae), čerstvé nebo chlazené (kromě filé)"
217,030459,2017-01-01,2999-12-31,"Maso z ostatních ryb, čerstvé nebo chlazené"
218,030461,2017-01-01,2999-12-31,"Filé z tilápie, zmrazené"
219,030462,2017-01-01,2999-12-31,"Filé ze sumců, zmrazené"
220,030463,2017-01-01,2999-12-31,"Filé z robala nilského, zmrazené"
221,030469,2017-01-01,2999-12-31,"Filé z kaprů, úhořů, hadohlavců, zmrazené"
222,030471,2017-01-01,2999-12-31,"Filé z tresky (Gadus morhua, ogac, macrocephalus), zmrazené"
223,030472,2017-01-01,2999-12-31,"Filé z tresky jednoskvrnné, zmrazené"
224,030473,2017-01-01,2999-12-31,"Filé z tresky tmavé, zmrazené"
225,030474,2017-01-01,2999-12-31,"Filé ze štikozubce, zmrazené"
226,030475,2017-01-01,2999-12-31,"Filé z tresky pestré (Theragra chalcogramma), zmrazené"
227,030479,2017-01-01,2999-12-31,"Filé z tresek ostatních, zmrazené"
228,030481,2017-01-01,2999-12-31,"Filé z lososa, zmrazené"
229,030482,2017-01-01,2999-12-31,"Filé ze pstruhů, zmrazené"
230,030483,2017-01-01,2999-12-31,"Filé z platýsovitých ryb, zmrazené"
231,030484,2017-01-01,2999-12-31,"Filé z mečouna obecného, zmrazené"
232,030485,2017-01-01,2999-12-31,"Filé ze zubatky, zmrazené"
233,030486,2017-01-01,2999-12-31,"Filé ze sleďě, zmrazené"
234,030487,2017-01-01,2999-12-31,"Filé z tuňáků, zmrazené"
235,030488,2017-01-01,2999-12-31,"Filé ze žraloků a rejnokovitých (Rajidae), zmrazené"
236,030489,2017-01-01,2999-12-31,"Filé z ostatních ryb, zmrazené"
237,030491,2017-01-01,2999-12-31,"Maso (též mleté) z mečouna obecného (Xiphias gladius), zmrazené, ne filé"
238,030492,2017-01-01,2999-12-31,"Maso (též mleté) ze zubatek (Dissostichus spp.), zmrazené, ne filé"
239,030493,2017-01-01,2999-12-31,"Maso (též mleté), zmrazené, ne filé, z tilápií (Oreochromis spp.), sumců (Pangasius spp., Silurus spp.,Clarias spp., Ict"
240,030494,2017-01-01,2999-12-31,"Maso (též mleté), zmrazené, z tresky pestré (Theragra chalcogramma), ne filé"
241,030495,2017-01-01,2999-12-31,"Maso (též mleté), zmrazené, ne filé, z ryb čeledi Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Me"
242,030496,2017-01-01,2999-12-31,"Maso (též mleté) ze žraloků, zmrazené (kromě filé)"
243,030497,2017-01-01,2999-12-31,"Maso (též mleté) z rejnokovitých (Rajidae), zmrazené (kromě filé)"
244,030499,2017-01-01,2999-12-31,"Maso rybí ostatní zmrazené,ne filé"
245,030510,2017-01-01,2021-12-31,Moučka rybí vhodná k lidskému požívání
246,030520,2017-01-01,2999-12-31,"Rybí játra, jikry a mlíčí, sušené, uzené, solené nebo ve slaném nálevu"
247,030531,2017-01-01,2999-12-31,"Filé sušené, solené nebo ve slaném nálevu, ne však uzené, z tilápie (Oreochromis spp.), sumců (Pangasius spp., Silurus s"
248,030532,2017-01-01,2999-12-31,"Filé z ryb čeledi Bregmacerotidae, Euclichthyidae a pod.,sušené,solené"
249,030539,2017-01-01,2999-12-31,"Rybí filé sušené, solené nebo ve slaném nálevu, ostatní"
250,030541,2017-01-01,2999-12-31,"Losos tichomořský,atlantický,dunajský uzený"
251,030542,2017-01-01,2999-12-31,Sledi uzení
252,030543,2017-01-01,2999-12-31,"Filé z ryb ostatních, sušené, solené, ve slaném nálevu"
253,030544,2017-01-01,2999-12-31,"Uzené tilápie (Oreochromis spp.), sumci (Pangasius spp., Silurus spp.,Clarias spp., Ictalurus spp.), kaprovití (Cyprinus"
254,030549,2017-01-01,2999-12-31,Ryby ostatní vč filé uzené
255,030551,2017-01-01,2999-12-31,"Tresky sušené,solené,ne uzené"
256,030552,2017-01-01,2999-12-31,"Sušené, též solené, tilápie (Oreochromis spp.), sumci (Pangasius spp., Silurus spp.,Clarias spp., Ictalurus spp.), kapro"
257,030553,2017-01-01,2999-12-31,"Sušené, též solené, ryby čeledi Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Morida"
258,030554,2017-01-01,2999-12-31,"Sušení, též solení, sledi (Clupea harengus, Clupea pallasii), sardele (ančovičky) (Engraulis spp.), sardinky (Sardina pi"
259,030559,2017-01-01,2999-12-31,"Ryby ostatní sušené,solené,ne uzené"
260,030561,2017-01-01,2999-12-31,"Sledi solené,v slaném nálevu,ne sušené,uzené"
261,030562,2017-01-01,2999-12-31,"Tresky solené,v slaném nálevu,ne sušené,uzené"
262,030563,2017-01-01,2999-12-31,"Ančovičky solené,v sl.nálevu,ne sušené,uzené"
263,030564,2017-01-01,2999-12-31,"Solené, ve slaném nálevu, tilápie (Oreochromis spp.), sumci (Pangasius spp., Silurus spp.,Clarias spp., Ictalurus spp.),"
264,030569,2017-01-01,2999-12-31,"Ryby ost.solené,v sl.nálevu,ne sušené,uzené"
265,030571,2017-01-01,2999-12-31,Žraločí ploutve
266,030572,2017-01-01,2999-12-31,"Rybí hlavy, ocasy a žaludky"
267,030579,2017-01-01,2999-12-31,"Jedlé rybí droby, ostatní"
268,030611,2017-01-01,2999-12-31,"Langusty a jiní mořští raci, zmrazení"
269,030612,2017-01-01,2999-12-31,"Humři (Homarus spp.), zmrazení"
270,030614,2017-01-01,2999-12-31,"Krabi, zmrazení"
271,030615,2017-01-01,2999-12-31,"Humr severský, zmrazený"
272,030616,2017-01-01,2999-12-31,"Studenomilné krevety a garnáti, zmrazení"
273,030617,2017-01-01,2999-12-31,"Krevety a garnáti ostatní, zmrazené"
274,030619,2017-01-01,2999-12-31,"Korýši, způsobilí k lidskému požívání, též uzení, též bez krunýře, včetně vařených ve vodě nebo v páře, zmrazení (kromě"
275,030631,2017-01-01,2999-12-31,"Langusty a jiní mořští raci (Palinurus spp., Panulirus spp., Jasus spp.), též bez krunýře, živí, čerství, chlazení"
276,030632,2017-01-01,2999-12-31,"Humři (Homarus spp.), též bez krunýře, živí, čerství nebo chlazení"
277,030633,2017-01-01,2999-12-31,"Krabi, též bez krunýře, živí, čerství nebo chlazení"
278,030634,2017-01-01,2999-12-31,"Humr severský (Nephrops norvegicus), též bez krunýře, živý, čerstvý nebo chlazený"
279,030635,2017-01-01,2999-12-31,"Garnát obecný (Crangon crangon), též bez krunýře, živý, čerstvý nebo chlazený"
280,030636,2017-01-01,2999-12-31,"Ostatní krevety a garnáti, též bez krunýře, živí, čerství nebo chlazení (kromě studenomilných krevet a garnátů (Pandalus"
281,030639,2017-01-01,2999-12-31,"Korýši, způsobilí k lidskému požívání, též bez krunýře, živí, čerství nebo chlazení (kromě langust a jiných mořských rak"
282,030691,2017-01-01,2999-12-31,"Langusty a jiní mořští raci (Palinurus spp., Panulirus spp., Jasus spp.), též bez krunýře, sušení, solení, uzení nebo ve"
283,030692,2017-01-01,2999-12-31,"Humři (Homarus spp.), sušení, solení, uzení nebo ve slaném nálevu; včetně v krunýřích, vařených ve vodě nebo v páře"
284,030693,2017-01-01,2999-12-31,"Krabi, též bez krunýře, sušení, solení, uzení nebo ve slaném nálevu; včetně krabů v krunýřích, vařených ve vodě nebo v p"
285,030694,2017-01-01,2999-12-31,"Humr severský (Nephrops norvegicus), též bez krunýře, sušený, solený, uzený nebo ve slaném nálevu; včetně v krunýři, vař"
286,030695,2017-01-01,2999-12-31,"Krevety a garnáti, též bez krunýře, sušení, solení, uzení nebo ve slaném nálevu; včetně v krunýřích, vařených ve vodě ne"
287,030699,2017-01-01,2999-12-31,"Korýši, způsobilí k lidskému požívání, též bez krunýře, sušení, solení, uzení nebo ve slaném nálevu, včetně vařených ve"
288,030711,2017-01-01,2999-12-31,"Ústřice, živé, čerstvé nebo chlazené"
289,030712,2017-01-01,2999-12-31,"Ústřice, zmrazené"
290,030719,2017-01-01,2999-12-31,"Ústřice, ne: živé, čerstvé nebo chlazené"
291,030721,2017-01-01,2999-12-31,"Hřebenatky a jiní měkkýši čeledi Pectinidae, též v lasturách, živé, čerstvé nebo chlazené"
292,030722,2017-01-01,2999-12-31,"Hřebenatky a jiní měkkýši čeledi Pectinidae, též v lasturách, zmrazení"
293,030729,2017-01-01,2999-12-31,"Hřebenatky a jiní měkkýši čeledi Pectinidae, též v lasturách, uzení, sušení, solení nebo ve slaném nálevu"
294,030731,2017-01-01,2999-12-31,"Slávky (Mytilus spp., Perna spp.), též v lasturách, živé, čerstvé nebo chlazené"
295,030732,2017-01-01,2999-12-31,"Slávky (Mytilus spp., Perna spp.), též v lasturách, zmrazené"
