,loc,prod,ExportValue,time,diversity,ubiquity,mcp,eci,pci,density,coi,cog,rca,POPIS,description,relatedness,WorldExport,EUExport,EUTopExporter,EUWorldMarketShare,hhi,euhhi,CZE_WorldMarketShare,CZE_EUMarketShare,PCI_Rank,PCI_Percentile,relatedness_Rank,relatedness_Percentile,export_Rank,export_Percentile
0,CZE,10121,4375299.0,2023,1362,11,0,1.6617566004482336,1.5376964100797628,0.23618739789592536,1.4835952577669913,0.3520505460631754,0.271459195409907,"Plemenní čistokrevní koně, živí","Horses: live, pure-bred breeding animals",0.2361873978959256,4467094932.0,2288022871.0,IRL,0.5121948169513403,0.061115442452638835,0.11750226869429392,0.0009794506422188566,0.001912261916371377,3226.0,57.545486978237605,1006.0,17.94505886550125,3367.0,60.060649304316804
1,CZE,10129,1837566.0,2023,1362,19,0,1.6617566004482336,1.213715866318024,0.2637732576767418,1.4835952577669913,0.27036506972085833,0.07821919649079238,"Koně ostatní, živí","Horses: live, other than pure-bred breeding animals",0.26377325767674337,7357973918.0,2880430590.0,DEU,0.39147061706124414,0.04967782259322703,0.06471686370040725,0.0002497380420858404,0.0006379483700733785,2819.0,50.285408490902604,2426.0,43.27506243310739,2734.0,48.769175882982516
2,CZE,10130,2.0,2023,1362,19,0,1.6617566004482336,0.06889964511756708,0.2907220800597238,1.4835952577669913,0.06181847319129844,0.00011244030505734939,"Osli, živí",Asses: live,0.29072208005972117,5390724.0,3139497.0,ITA,0.5823887477823017,0.0650757210861519,0.14336787927475803,3.7100767911694236e-07,6.370447240433738e-07,1581.0,28.20192650731359,3587.0,63.985016054227614,177.0,3.1573314306100606
3,CZE,10190,92.0,2023,1362,8,0,1.6617566004482336,-0.20276601169939854,0.2191862335777396,1.4835952577669913,0.12363270561408146,0.00015232858881384414,Koně ostatní,Mules and hinnies: live,0.21918623357774047,91144675.0,17874713.0,FRA,0.19611362923835102,0.21078685743283118,0.07400130894552558,1.00938425640335e-06,5.146935785766182e-06,1357.0,24.20620763467713,450.0,8.027113806635748,238.0,4.24545130217624
4,CZE,10221,52668176.0,2023,1362,34,1,1.6617566004482336,-0.00494348404239558,0.3442988173489551,1.4835952577669913,-0.0,4.1223021344419,"Plemenný čistokrevný skot, živý","Cattle: live, pure-bred breeding animals",0.34429881734895734,3569072159.0,2395028131.0,BGR,0.6710506328544085,0.021008127278146504,0.03141339634877839,0.014756825766940174,0.021990629386891322,1526.0,27.220834819835886,5071.0,90.45665358544417,4969.0,88.63717445594006
5,CZE,10229,271309056.0,2023,1362,38,1,1.6617566004482336,-0.5396325329546525,0.34639008371132857,1.4835952577669913,-0.0,2.755280354403893,"Skot ostatní, živý","Cattle: live, other than pure-bred breeding animals",0.3463900837113327,26575790314.0,11686610417.0,FRA,0.43974648651722503,0.029703220996907056,0.0664286127257342,0.010208880066948589,0.02321537608589558,1096.0,19.550481626828397,5121.0,91.34855511951481,5453.0,97.27078130574385
6,CZE,10231,0.0,2023,1362,15,0,1.6617566004482336,-0.7923693758779793,0.24534350144044892,1.4835952577669913,-0.13048535780997755,0.0,"Plemenní čistokrevní buvoli, živí","Buffalo: live, pure-bred breeding animals",0.24534350144044886,48162520.0,1455787.0,ITA,0.03022655376006073,0.5019130626607895,0.10053735148759453,0.0,0.0,923.0,16.46450231894399,1415.0,25.24081341419907,84.5,1.5073135925793792
7,CZE,10239,0.0,2023,1362,10,0,1.6617566004482336,-1.0295042953778275,0.23595627250182383,1.4835952577669913,-0.17541901225086134,0.0,"Buvoli ostatní, živí","Buffalo: live, other than pure-bred breeding animals",0.2359562725018232,301425635.0,9465328.0,FRA,0.03140186799307896,0.18687365208061563,0.12667548335238585,0.0,0.0,770.0,13.735283624687836,996.0,17.766678558687122,84.5,1.5073135925793792
8,CZE,10290,446487.0,2023,1362,26,0,1.6617566004482336,-1.9678654373418227,0.29107059219912634,1.4835952577669913,-0.32266990038647025,0.1175318065308519,Dobytek hovězí ostatní živý,"Bovine animals: live, other than cattle and buffalo",0.2910705921991294,1237949748.0,264554841.0,FRA,0.2137040226611848,0.036699323970435155,0.0634516615073178,0.0003606664977486631,0.001687691664655647,287.0,5.119514805565466,3599.0,64.19907242240457,1904.0,33.96361041740992
9,CZE,10310,3881919.0,2023,1362,20,1,1.6617566004482336,1.4099406630971068,0.3498581848066845,1.4835952577669913,0.0,1.5433321895921133,Dobytek vepřový plemenný čistokrevný živý,"Swine: live, pure-bred breeding animals",0.349858184806684,663239046.0,514020559.0,DNK,0.775015527357839,0.05559176851118142,0.08437223184529703,0.005852971147298828,0.007552069527242392,3079.0,54.92329646806993,5196.0,92.68640742062077,3281.0,58.5265786657153
10,CZE,10391,19494977.0,2023,1362,11,0,1.6617566004482336,2.0989075128456025,0.2836734543291909,1.4835952577669913,0.2566466608050472,0.6833792562194336,"Dobytek vepřový ostatní živý,do 50kg","Swine: live, other than pure-bred breeding animals, weighing less than 50kg",0.2836734543291906,7025884312.0,6395432033.0,DNK,0.9102671989740556,0.13259994279181642,0.1569112082602944,0.002774736408156218,0.0030482658402758763,4026.0,71.81591152336782,3323.0,59.27577595433464,4430.0,79.02247591865857
11,CZE,10392,36140182.0,2023,1362,20,1,1.6617566004482336,2.289075998075555,0.32935142496285397,1.4835952577669913,0.0,1.4994579856514925,"Dobytek vepřový ostatní živý,nad 50kg","Swine: live, other than pure-bred breeding animals, weighing 50kg or more",0.32935142496285835,6338431693.0,3809774150.0,NLD,0.6010594315006055,0.034580990928680805,0.03491884716477058,0.005701754590163413,0.009486174396978362,4276.0,76.27541919372102,4652.0,82.98251872993222,4789.0,85.42632893328576
12,CZE,10410,1486231.0,2023,1362,28,0,1.6617566004482336,-2.5477729494965162,0.26751409628248635,1.4835952577669913,-0.44782787551622527,0.057430484106347914,Ovce živé,Sheep: live,0.26751409628248873,6675565065.0,2203725192.0,ROU,0.33011815038012815,0.04140127525045268,0.08840703586394037,0.00022263748244958495,0.0006744175750203976,145.0,2.5865144488048517,2586.0,46.12914734213343,2585.0,46.11130931145201
13,CZE,10420,7293.0,2023,1362,18,0,1.6617566004482336,-3.8087845074117195,0.19930152086265346,1.4835952577669913,-0.4747573074653902,0.0012432988819780092,Kozy živé,Goats: live,0.19930152086265307,900517701.0,24420970.0,GRC,0.02711881173782724,0.13543923235551855,0.0531832114421365,8.098674786626987e-06,0.0002986367863356779,31.0,0.5529789511237959,125.0,2.2297538351765964,507.0,9.043881555476275
14,CZE,10511,49480582.0,2023,1362,34,1,1.6617566004482336,-0.5165690022990838,0.3129258646749318,1.4835952577669913,-0.0,2.473973601243475,"Kohouti,slepice domácí živí,do 185g","Poultry: live, fowls of the species Gallus domesticus, weighing not more than 185g",0.3129258646749313,5437755127.0,2869588217.0,NLD,0.5277156013796352,0.027081180412662713,0.04096545384478057,0.009099450204058444,0.0172430949175451,1111.0,19.81805208704959,4277.0,76.29325722440242,4937.0,88.06635747413486
15,CZE,10512,3652446.0,2023,1362,11,1,1.6617566004482336,3.0343916832766538,0.3634253187102201,1.4835952577669913,0.0,1.8730818117609456,Krocani a krůty,"Poultry: live, turkeys, weighing not more than 185g",0.36342531871021794,528279475.0,309667963.0,FRA,0.5861820828833072,0.049109713421385814,0.09192512212423821,0.006913851801643439,0.011794717040199602,5125.0,91.41990724224046,5446.0,97.14591509097396,3231.0,57.634677131644665
16,CZE,10513,10353611.0,2023,1362,9,1,1.6617566004482336,2.800230365171158,0.3568757607595951,1.4835952577669913,0.0,23.44729234010901,"Kachny, živé, o hmotnosti <= 185 g","Poultry: live, ducks, weighing not more than 185g",0.35687576075959343,107441135.0,89390628.0,FRA,0.8319963112824524,0.0638997255059351,0.08661253595830257,0.09636542838085245,0.11582434570210201,4907.0,87.53121655369247,5341.0,95.27292186942562,4008.0,71.49482697110238
17,CZE,10514,323642.0,2023,1362,8,1,1.6617566004482336,1.937385145949466,0.4045233526166986,1.4835952577669913,0.0,5.612213155859366,"Husy, živé, o hmotnosti <= 185 g","Poultry: live, geese, weighing not more than 185g",0.4045233526166982,15623749.0,14667325.0,POL,0.9387839627991975,0.16432287072606203,0.18574663802324926,0.020714746505464215,0.02206550955951409,3785.0,67.51694612914734,5600.0,99.89297181591152,1734.0,30.93114520156975
18,CZE,10515,3925.0,2023,1362,4,0,1.6617566004482336,0.09164733250814802,0.23694628722719538,1.4835952577669913,0.06779521072134626,0.027971921744261198,"Perličky, živé, o hmotnosti <= 185 g","Poultry: live, guinea fowls, weighing not more than 185g",0.23694628722719602,39754054.0,6169817.0,FRA,0.15519969359602923,0.1663146901964995,0.3043473752587668,9.873206893566126e-05,0.0006361614939308573,1610.0,28.719229397074564,1035.0,18.46236175526222,439.0,7.8308954691402075
19,CZE,10594,38219996.0,2023,1362,19,1,1.6617566004482336,1.7487157688017896,0.35320675517000955,1.4835952577669913,0.0,2.2623740920352313,"Kohouti,slepice domácí živí,nad 185g","Poultry: live, fowls of the species Gallus domesticus, weighing more than 185g",0.3532067551700076,4497901555.0,3810458098.0,DEU,0.847163516454508,0.05564351062823757,0.07305462773313717,0.008497294912449457,0.010030289014347271,3530.0,62.968248305387085,5265.0,93.91723153763824,4813.0,85.85444166963967
20,CZE,10599,27855626.000000004,2023,1362,19,1,1.6617566004482336,0.8117577882938667,0.34680713224685006,1.4835952577669913,0.0,8.402136343531284,"Kachny,husy,krocani,perličky ap domácí živí","Poultry: live, ducks, geese, turkeys and guinea fowls, weighing more than 185g",0.34680713224684967,843337614.0,661727608.0,POL,0.784653259874639,0.03557417906448607,0.04592322164383766,0.03303021890352919,0.04209530577723758,2318.0,41.348555119514806,5129.0,91.4912593649661,4661.0,83.14306100606494
21,CZE,10611,534612.0,2023,1362,9,0,1.6617566004482336,-1.011411435803662,0.22505379814644252,1.4835952577669913,-0.04920793455571875,0.14270826792780716,Primáti,"Mammals: live, primates",0.22505379814644255,959910849.0,115369423.0,FRA,0.12018764359230615,0.07687627559536028,0.1437782095124386,0.0005569392205087996,0.004633914135117066,785.0,14.002854084909025,614.0,10.952550838387442,1997.0,35.622547270781304
22,CZE,10612,0.0,2023,1362,9,0,1.6617566004482336,-0.685326494363426,0.22742711139156666,1.4835952577669913,-0.019723437292059314,0.0,"Velryby,delfíni,sviňuchy,kapustňáci,dugungové,tuleni,lvouni,mroži,živí","Mammals: live, whales, dolphins and porpoises (mammals of the order Cetacea): manatees and dugongs (mammals of the order Sirenia): seals, sea lions and walruses (mammals of the suborder Pinnipedia)",0.2274271113915664,31770878.0,4776832.0,ESP,0.1503525335371594,0.18957629416520222,0.3567540115408814,0.0,0.0,991.0,17.677488405280055,687.0,12.254727078130575,84.5,1.5073135925793792
23,CZE,10613,173159.0,2023,1362,13,0,1.6617566004482336,-3.6028132733170803,0.16194685835402084,1.4835952577669913,-0.27298151361586037,0.05409451195625035,"Velbloudi a jiní velbloudovití, živí","Mammals: live, camels and other camelids (Camelidae)",0.16194685835402073,833078284.0,2047372.0,POL,0.002457598570652455,0.09111420133539548,0.05769205208646182,0.0002078544157562028,0.08457622747600338,41.0,0.7313592579379237,15.0,0.2675704602211916,1403.0,25.02675704602212
24,CZE,10614,155783.0,2023,1362,10,0,1.6617566004482336,2.1652846333890157,0.2756129080691583,1.4835952577669913,0.3584826687451415,0.35297722260738346,"Králíci a zajíci, živí","Mammals: live, rabbits and hares",0.27561290806915784,127574535.0,102043434.0,NLD,0.7998730624414975,0.05578883108798982,0.07648635181750794,0.0012211136023345098,0.0015266342369465928,4122.0,73.52836246878344,2963.0,52.85408490902604,1355.0,24.170531573314307
25,CZE,10619,5817519.999999999,2023,1362,33,1,1.6617566004482336,0.7376103579170219,0.3509218646508051,1.4835952577669913,0.0,1.7476129367470266,Domácí králíci,"Mammals: live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea): manatees, dugongs (mammals of the order Sirenia): seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",0.3509218646508042,955160626.0,427578835.0,FRA,0.4476512362016062,0.03491747833503708,0.05518759565270402,0.00609061956873419,0.013605724895152958,2246.0,40.06421691045309,5220.0,93.11452015697466,3586.0,63.967178023546204
26,CZE,10620,2709959.0,2023,1362,46,1,1.6617566004482336,-2.2657538691108523,0.295147999818044,1.4835952577669913,-0.0,3.979851718900936,Plazi (včetně hadů a želv),Reptiles: live (including snakes and turtles),0.2951479998180438,195514690.0,50189256.0,DEU,0.25670324823162904,0.021125556908826077,0.08260433265993543,0.013860641366641044,0.0539948031905474,210.0,3.745986443096682,3731.0,66.55369247235106,3014.0,53.7638244737781
27,CZE,10631,848671.0,2023,1362,22,1,1.6617566004482336,0.1761206040830999,0.33106872684820143,1.4835952577669913,0.0,3.4219278707765968,Dravci,"Birds: live, birds of prey",0.33106872684820216,77344946.0,45290611.0,ESP,0.5855665216961946,0.061069873277817543,0.11224195053926661,0.01097254628634688,0.018738342920566912,1689.0,30.12843382090617,4687.0,83.60684980378166,2258.0,40.27827327863004
28,CZE,10632,2478862.0,2023,1362,31,1,1.6617566004482336,-0.6714135966763541,0.30473664902354297,1.4835952577669913,-0.0,10.838992044936804,"Papouškovití (vč. papoušků, makaů apod)","Birds: live, Psittaciformes",0.3047366490235437,70988359.0,33460211.0,CZE,0.471347858597492,0.05301057683775133,0.06889554850275531,0.03491927458134368,0.07408387233421809,997.0,17.784516589368536,4039.0,72.04780592222619,2949.0,52.60435247948626
29,CZE,10633,220.0,2023,1362,16,0,1.6617566004482336,-1.282104384126228,0.22278438274908424,1.4835952577669913,-0.33695392281329356,0.0334576808923385,"Pštrosi, emuové, živí","Birds: live, ostriches: emus (Dromaius novaehollandiae)",0.2227843827490836,1710307.0,276235.0,BEL,0.16151193908462047,0.08000128976532345,0.10921788418276306,0.00012863187720099374,0.0007964233352037214,601.0,10.720656439529076,543.0,9.686050660007135,264.0,4.7092400998929715
