HS_ID,Skupina,Podskupina,Kategorie,Included,CZ_Nazev,ENG_Nazev,Barva Skupina,Barva Kategorie
870380,Doprava,"Automobilová (individuální, osobní i nákladní)",Automotive,IN,Elektrická osobní auta (BEV),Electric motor Vehicles,#e6194B,#E6194B
870441,Doprava,"Automobilová (individuální, osobní i nákladní)",Automotive,IN,"Hybridní nákladní vozidla, diesel-elektrická, nesestavená, < 5000 kg","Hybrid diesel-electric trucks, unassembled, <5,000kg GVW",#e6194B,#E6194B
870442,Doprava,"Automobilová (individuální, osobní i nákladní)",Automotive,IN,"Hybridní nákladní vozidla, diesel-elektrická, 5000 - 20000kg","Hybrid diesel-electric trucks, 5,001-20,000kg GVW",#e6194B,#E6194B
870443,Doprava,"Automobilová (individuální, osobní i nákladní)",Automotive,IN,"Hybridní nákladní vozidla, diesel-elektrická, >20000kg","Hybrid diesel-electric trucks, >20,000kg GVW",#e6194B,#E6194B
870451,Doprava,"Automobilová (individuální, osobní i nákladní)",Automotive,IN,"Hybridní nákladní vozidla, benzín-elektrická < 5000 kg","Hybrid petrol-electric trucks, <5,000kg GVW",#e6194B,#E6194B
870452,Doprava,"Automobilová (individuální, osobní i nákladní)",Automotive,IN,"Hybridní nákladní vozidla, benzín-elektrická > 5000 kg","Hybrid petrol-electric trucks, >5,000kg GVW",#e6194B,#E6194B
870460,Doprava,"Automobilová (individuální, osobní i nákladní)",Automotive,IN,Elektrická nákladní vozidla,Electric trucks,#e6194B,#E6194B
870911,Doprava,Ostatní elektrická doprava,Ostatní doprava elektrická,IN,Vozíky elektrické s vl.pohonem bez zaříz.zdvihacího,"Work trucks, electrically powered",#e6194B,#800000
871160,Doprava,Cyklistika a jednostopá,Bicykly a motocykly (bez spalovacích motorů),IN,Elektrické motocykly,Electric Motorcycles,#e6194B,#FC5408
871200,Doprava,Cyklistika a jednostopá,Bicykly a motocykly (bez spalovacích motorů),IN,Kola jízdní aj bez motoru(vč dodávk.tříkolek),Bicycles,#e6194B,#FC5408
871491,Doprava,Cyklistika a jednostopá,Bicykly a motocykly (bez spalovacích motorů),IN,"Rámy,vidlice motocyklů,jízd.kol,invalid.voz.",Bicycle frames and forks and parts,#e6194B,#FC5408
871492,Doprava,Cyklistika a jednostopá,Bicykly a motocykly (bez spalovacích motorů),IN,"Ráfky,paprsky kol motocyklů,jízd.kol,inval.v.",Bicycle wheel rims and spokes,#e6194B,#FC5408
871493,Doprava,Cyklistika a jednostopá,Bicykly a motocykly (bez spalovacích motorů),IN,"Hlavy,volnoběh řetěz.motocyklů,jízd.kol,inv.v","Bicycle hubs, free-wheel sprocket wheels",#e6194B,#FC5408
871494,Doprava,Cyklistika a jednostopá,Bicykly a motocykly (bez spalovacích motorů),IN,"Brzdy vč středových motocyklů,jízd.kol,inv.v.",Bicycle brakes and parts,#e6194B,#FC5408
871495,Doprava,Cyklistika a jednostopá,Bicykly a motocykly (bez spalovacích motorů),IN,"Sedla jízdních kol,invalidních vozíků",Bicycle saddles,#e6194B,#FC5408
871496,Doprava,Cyklistika a jednostopá,Bicykly a motocykly (bez spalovacích motorů),IN,"Pedály,ústrojí pedál.motocyklů,jízd.kol,inv.v","Bicycle pedals/crank-gear, parts thereof",#e6194B,#FC5408
871499,Doprava,Cyklistika a jednostopá,Bicykly a motocykly (bez spalovacích motorů),IN,"Části ost.motocyklů,jízdních kol,invalid.voz.",Bicycle parts nes,#e6194B,#FC5408
880621,Doprava,Ostatní elektrická doprava,Drony,IN,"Bezpilotní letadla, pouze pro dálkově ovládané<br>lety, o maximální vzletové hmotnosti <=<br>250 g","Mini drones (<250g), RC Only",#e6194B,#F032E6
880622,Doprava,Ostatní elektrická doprava,Drony,IN,"Bezpilotní letadla, pouze pro dálkově ovládané<br>lety, o maximální vzletové hmotnosti ><br>250 g, avšak <= 7 kg","Small drones (250g-7kg), RC Only",#e6194B,#F032E6
880623,Doprava,Ostatní elektrická doprava,Drony,IN,"Bezpilotní letadla, pouze pro dálkově ovládané<br>lety, o maximální vzletové hmotnosti ><br>7 kg, avšak <= 25 kg<br>(kromě těch p","Medium-sized drones (7-25kg), RC Only",#e6194B,#F032E6
880624,Doprava,Ostatní elektrická doprava,Drony,IN,"Bezpilotní letadla, pouze pro dálkově ovládané<br>lety, o maximální vzletové hmotnosti ><br>25 kg, avšak <= 150 kg<br>(kromě těch","Large drones (25-150kg), RC Only",#e6194B,#F032E6
880691,Doprava,Ostatní elektrická doprava,Drony,IN,"Bezpilotní letadla, o maximální vzletové hmotnosti<br><= 250 g (kromě těch pouze<br>pro dálkově ovládané lety)",Mini UAV (<250g),#e6194B,#F032E6
880692,Doprava,Ostatní elektrická doprava,Drony,IN,"Bezpilotní letadla, o maximální vzletové hmotnosti<br>> 250 g, avšak <= 7<br>kg (kromě těch pro přepravu cestujících<br>nebo těch",Small UAV (250g-7kg),#e6194B,#F032E6
880693,Doprava,Ostatní elektrická doprava,Drony,IN,"Bezpilotní letadla, o maximální vzletové hmotnosti<br>> 7 kg, avšak <= 25<br>kg (kromě těch pro přepravu cestujících<br>nebo těch",Medium-sized UAV (7-25kg),#e6194B,#F032E6
