,loc,prod,ExportValue,time,diversity,ubiquity,mcp,eci,pci,density,coi,cog,rca,POPIS,description,relatedness,WorldExport,EUExport,EUTopExporter,EUWorldMarketShare,hhi,euhhi,CZE_WorldMarketShare,CZE_EUMarketShare,PCI_Rank,PCI_Percentile,relatedness_Rank,relatedness_Percentile,export_Rank,export_Percentile
0,CZE,10121,3261005.0,2024,1342,11,0,1.6385138995092654,1.9464541349911337,0.23026465722243059,1.5086092437781762,0.446182967249665,0.2025408472652207,"Plemenní čistokrevní koně, živí","Horses: live, pure-bred breeding animals",0.23026465722243047,4467094932.0,2288022871.0,IRL,0.5121948169513403,0.061115442452638835,0.11750226869429392,0.0007300057530991375,0.0014252501761814775,3848.0,68.64074206207634,917.0,16.35747413485551,3186.0,56.8319657509811
1,CZE,10129,1742253.0000000002,2024,1342,18,0,1.6385138995092654,1.3203091517476628,0.25901549765852805,1.5086092437781762,0.3142273126139433,0.06723217124911603,"Koně ostatní, živí","Horses: live, other than pure-bred breeding animals",0.25901549765853044,7357973918.0,2880430590.0,DEU,0.39147061706124414,0.04967782259322703,0.06471686370040725,0.0002367843402839309,0.0006048585256831342,2926.0,52.194077773813774,2349.0,41.901534070638604,2732.0,48.73349982161969
2,CZE,10130,0.0,2024,1342,14,0,1.6385138995092654,0.12106778090888916,0.24379096716067467,1.5086092437781762,0.28427304703293327,0.0,"Osli, živí",Asses: live,0.24379096716067516,5390724.0,3139497.0,ITA,0.5823887477823017,0.0650757210861519,0.14336787927475803,0.0,0.0,1612.0,28.754905458437392,1564.0,27.898679985729576,108.0,1.9265073135925792
3,CZE,10190,46289.0,2024,1342,12,0,1.6385138995092654,1.4739713958767582,0.24984309023305362,1.5086092437781762,0.4841461119955304,0.252206712757973,Koně ostatní,Mules and hinnies: live,0.2498430902330523,91144675.0,17874713.0,FRA,0.19611362923835102,0.21078685743283118,0.07400130894552558,0.000507862911354942,0.0025896359846449,3159.0,56.35033892258294,1879.0,33.5176596503746,925.0,16.500178380306814
4,CZE,10221,67417931.0,2024,1342,32,1,1.6385138995092654,0.6492802654376292,0.3538116298645494,1.5086092437781762,-0.0,5.482447779861169,"Plemenný čistokrevný skot, živý","Cattle: live, pure-bred breeding animals",0.35381162986455134,3569072159.0,2395028131.0,BGR,0.6710506328544085,0.021008127278146504,0.03141339634877839,0.01888948387608097,0.02814911863763825,2113.0,37.69175882982519,5409.0,96.48590795576169,5089.0,90.77773813770959
5,CZE,10229,273801524.0,2024,1342,35,1,1.6385138995092654,0.14098597066329302,0.35144059138201156,1.5086092437781762,-0.0,2.6296925180666197,"Skot ostatní, živý","Cattle: live, other than pure-bred breeding animals",0.35144059138201234,26575790314.0,11686610417.0,FRA,0.43974648651722503,0.029703220996907056,0.0664286127257342,0.010302667230775171,0.023428651613278124,1630.0,29.075990010702817,5365.0,95.70103460577953,5465.0,97.4848376739208
6,CZE,10231,1.0,2024,1342,1,0,1.6385138995092654,1.3860811007327727,0.21333530430844178,1.5086092437781762,0.01890860508303326,2.729248403581706e-06,"Plemenní čistokrevní buvoli, živí","Buffalo: live, pure-bred breeding animals",0.21333530430844172,48162520.0,1455787.0,ITA,0.03022655376006073,0.5019130626607895,0.10053735148759453,2.076303316354709e-08,6.8691367624522e-07,3046.0,54.3346414555833,410.0,7.313592579379237,219.5,3.9154477345701038
7,CZE,10239,1952.0,2024,1342,6,0,1.6385138995092654,0.6125164062371103,0.24298794978110538,1.5086092437781762,0.11856566244389163,0.002351791136979043,"Buvoli ostatní, živí","Buffalo: live, other than pure-bred breeding animals",0.24298794978110602,301425635.0,9465328.0,FRA,0.03140186799307896,0.18687365208061563,0.12667548335238585,6.475892470127831e-06,0.00020622634524656726,2074.0,36.99607563325009,1518.0,27.07813057438459,434.0,7.741705315733142
8,CZE,10290,95972.0,2024,1342,23,0,1.6385138995092654,-0.4012976048370272,0.2917191758099939,1.5086092437781762,-0.09168052085090887,0.030718110949625763,Dobytek hovězí ostatní živý,"Bovine animals: live, other than cattle and buffalo",0.2917191758099954,1237949748.0,264554841.0,FRA,0.2137040226611848,0.036699323970435155,0.0634516615073178,7.752495620686535e-05,0.00036276788448562163,1163.0,20.745629682483056,3791.0,67.62397431323582,1198.0,21.3699607563325
9,CZE,10310,4508790.0,2024,1342,18,1,1.6385138995092654,1.8909708467821038,0.33781583001162435,1.5086092437781762,0.0,1.7857838212399826,Dobytek vepřový plemenný čistokrevný živý,"Swine: live, pure-bred breeding animals",0.3378158300116229,663239046.0,514020559.0,DNK,0.775015527357839,0.05559176851118142,0.08437223184529703,0.006798137153101206,0.008771614133044822,3765.0,67.16018551551909,5036.0,89.83232251159473,3407.0,60.77417053157331
